headline,byline,Source Type
"As Generation Z and millennials incorporate sustainability into events like weddings and birthdays, some are growing their own bouquets or picking wildflowers straight from local fields.",Gen Z and millennials embrace sustainable alternatives to imported fresh flowers,News: AP News
Premier League teams have agreed to introduce spending caps in England’s top flight from next season.,Premier League to introduce a spending cap from next season,News: AP News
"Several NFL stadiums in the U.S. are among the most sustainable sports venues in the world because of their solar panels, rainwater collection systems and on-site composting and recycling programs.","From composting to solar panels, NFL stadiums are working to be more sustainable",News: AP News
There’s clearly an appetite for shopping sustainably online. But it can be overwhelming to figure out how to find the certifications and companies that are actually making a difference.,How to make climate-friendly and sustainable choices when shopping online,News: AP News
A World Trade Organization agreement aimed at reducing overfishing has taken effect. It requires countries to reduce subsidies doled out to fishing fleets to ensure sustainability of wildlife in the world’s seas and oceans.,Long-wrought WTO agreement aimed at reducing overfishing takes effect,News: AP News
Lincoln Financial Field in Philadelphia is one of the stadiums recognized for their efforts to lower impact on the environment.,"From composting to solar panels, NFL stadiums are working to be more sustainable",News: AP News
"Air travel results in a lot of planet-warming emissions, but it’s also sometimes necessary. That’s a quandary for people who may be concerned about their personal contribution to the problem of climate change.",Travelers bothered by their flight’s pollution can pay to reduce it elsewhere. Do offsets work?,News: AP News
INEOS plans to transform the Nini oil field in the North Sea into a carbon storage site. The company aims to inject liquefied CO2 into depleted oil reservoirs beneath the seabed.,Ambitious plan to store CO2 beneath the North Sea set to start operations,News: AP News
"A large-scale carbon capture pipeline began operating in the Midwest in September, succeeding where others have so far fallen short.",Carbon capture pipelines have struggled to advance. A project in Nebraska found success,News: AP News
"Italy is hoping its first sand battery plant could be a game-changer for decarbonizing industrial heat, but the are environmental costs must be considered.",New sand battery technology sparks sustainability debate,News: AP News
Former Arsenal youth player Billy Vigar has died after sustaining a “significant brain injury” during a lower-league soccer match in England. He was 21.,Former Arsenal youth player Billy Vigar dies after sustaining brain injury during soccer game,News: AP News
"When faced with testimony that Zug Island’s EES Coke Battery is one of Michigan’s worst sulfur dioxide polluters, an attorney for the facility said Monday: “So what?”","EPA, EES Coke Battery are $135 million apart on Clean Air Act penalties as pollution trial ends",News: AP News
